,Make,count
838,LENNOX KENNETH J,1
839,MARCONI FRED I JR,1
840,LOWERRE BRUCE T,1
841,TIMOTHY J COWPER,1
842,VENABLES ZENITH,1
843,KENNETH M FRANZ,1
844,SUTPHIN,1
845,BELLER,1
846,FULLER VAN L,1
847,L GOLDNER,1
848,MCDONALD HOWARD BRIAN,1
849,POHOSKI,1
850,DENISAR RICHARD A,1
851,BAE SYSTEMS (OPERATIONS) LIMIT,1
852,MUSICK,1
853,GLASAIR AVIATION USA LLC,1
854,CLEVENGER JIMMIE B,1
855,SWEDENER,1
856,CANTRELL LW,1
857,STETSON NORMAN B,1
858,BARROW,1
859,DOUGLAS BRIAN G,1
860,KERR MATTHEW,1
861,SUPER 18 LLC,1
862,BRYANT FREDERICK M,1
863,GRIFFITH E/BOYD W E,1
864,URBAN AIR SRO,1
865,FETTERMAN LANNY R,1
866,ROBERT GOLDING,1
867,ANDERAS,1
868,TL ULTRALIGHT,1
869,MARK C PAULS,1
870,CONSOLIDATED AERONAUTICS INC,1
871,HOSKINS SAMUEL R,1
872,HENDERSON MICHAEL E,1
873,"BOEING COMPANY, LONG BEACH DIV",1
874,BREEZER AIRCRAFT,1
875,CESSNA/WEAVER,1
876,MAXAIR DRIFTER,1
877,TYLER IVES,1
878,CROWDER MICHAEL H,1
879,SCHEEL STANLEY K,1
880,YUNEEC,1
881,TEAL HARRY H,1
882,ROVEY JASON H,1
883,RICHARD S DUNCAN,1
884,NORMAN,1
885,BAYER OSCAR,1
886,FARACE THOMAS SCOTT,1
887,DONALD G STOKES,1
888,OLSON PERRY D,1
889,FRITZ NEUMEYER,1
890,WORTHINGTON DONALD WAYNE,1
891,BUCKEYE INDUSTRIES,1
892,ROBERT A MILLER,1
893,ROBERT J REIMBOLD,1
894,HELPLING HELEN C,1
895,BELISLE THOMAS J,1
896,FORTUNA DAVE,1
897,TERRY F KING,1
898,MONROE DENNIS,1
899,MOORE THOMAS O,1
900,QUEST AIRCRAFT COMPANY,1
901,WILLIAMS MYRON G,1
902,LARSEN,1
903,MAULE AIRCRAFT CORP,1
904,KALDOR GREGORY N,1
905,WATERS PETER T,1
906,KURTZ JAY B,1
907,OLSON KENNETH H T,1
908,FAIRCHILD INDUSTRIES,1
909,BIESEMEIER DAVID I,1
910,MOFFITT OSCAR/ KIT PROSTAR A/C,1
911,ANDERSON ANDREAS,1
912,THOMPSON WILLIAM A,1
